data,wse,phase,wse_orto_local,h_elipsoidal,wse_swot_ref,param_H_orto_ZR,param_N_local,param_N_egm2008
1969-11-24,2.03,Falling,117.847,123.577,117.37979296630604,115.817,5.73,6.1972070336939495
1969-11-25,2.05,Rising,117.86699999999999,123.597,117.39979296630605,115.817,5.73,6.1972070336939495
1969-11-26,2.04,Rising,117.857,123.587,117.38979296630606,115.817,5.73,6.1972070336939495
1969-11-27,2.03,Rising,117.847,123.577,117.37979296630604,115.817,5.73,6.1972070336939495
1969-11-28,2.03,Rising,117.847,123.577,117.37979296630604,115.817,5.73,6.1972070336939495
1969-11-29,2.01,Rising,117.827,123.557,117.35979296630606,115.817,5.73,6.1972070336939495
1969-11-30,1.95,Rising,117.767,123.497,117.29979296630606,115.817,5.73,6.1972070336939495
1969-12-01,1.93,Rising,117.747,123.477,117.27979296630605,115.817,5.73,6.1972070336939495
1969-12-02,1.91,Rising,117.72699999999999,123.457,117.25979296630604,115.817,5.73,6.1972070336939495
1969-12-03,1.87,Rising,117.687,123.417,117.21979296630604,115.817,5.73,6.1972070336939495
1969-12-04,1.82,Rising,117.63699999999999,123.36699999999999,117.16979296630603,115.817,5.73,6.1972070336939495
1969-12-05,1.81,Rising,117.627,123.357,117.15979296630604,115.817,5.73,6.1972070336939495
1969-12-06,1.87,Rising,117.687,123.417,117.21979296630604,115.817,5.73,6.1972070336939495
1969-12-07,1.95,Rising,117.767,123.497,117.29979296630606,115.817,5.73,6.1972070336939495
1969-12-08,2.0,Rising,117.817,123.547,117.34979296630604,115.817,5.73,6.1972070336939495
1969-12-09,2.01,Rising,117.827,123.557,117.35979296630606,115.817,5.73,6.1972070336939495
1969-12-10,2.07,Rising,117.88699999999999,123.61699999999999,117.41979296630603,115.817,5.73,6.1972070336939495
1969-12-11,2.08,Rising,117.89699999999999,123.627,117.42979296630605,115.817,5.73,6.1972070336939495
1969-12-12,2.05,Rising,117.86699999999999,123.597,117.39979296630605,115.817,5.73,6.1972070336939495
1969-12-13,2.01,Rising,117.827,123.557,117.35979296630606,115.817,5.73,6.1972070336939495
1969-12-14,2.03,Rising,117.847,123.577,117.37979296630604,115.817,5.73,6.1972070336939495
1969-12-15,2.02,Rising,117.83699999999999,123.567,117.36979296630605,115.817,5.73,6.1972070336939495
1969-12-16,2.01,Rising,117.827,123.557,117.35979296630606,115.817,5.73,6.1972070336939495
1969-12-17,2.05,Rising,117.86699999999999,123.597,117.39979296630605,115.817,5.73,6.1972070336939495
1969-12-18,2.14,Rising,117.957,123.687,117.48979296630606,115.817,5.73,6.1972070336939495
1969-12-19,2.21,Rising,118.02699999999999,123.75699999999999,117.55979296630605,115.817,5.73,6.1972070336939495
1969-12-20,2.26,Rising,118.077,123.807,117.60979296630606,115.817,5.73,6.1972070336939495
1969-12-21,2.29,Rising,118.107,123.837,117.63979296630606,115.817,5.73,6.1972070336939495
1969-12-22,2.31,Rising,118.127,123.857,117.65979296630604,115.817,5.73,6.1972070336939495
1969-12-23,2.33,Rising,118.14699999999999,123.877,117.67979296630605,115.817,5.73,6.1972070336939495
1969-12-24,2.38,Rising,118.19699999999999,123.92699999999999,117.72979296630604,115.817,5.73,6.1972070336939495
1969-12-25,2.42,Rising,118.237,123.967,117.76979296630606,115.817,5.73,6.1972070336939495
1969-12-26,2.47,Rising,118.28699999999999,124.017,117.81979296630604,115.817,5.73,6.1972070336939495
1969-12-27,2.5,Rising,118.317,124.047,117.84979296630604,115.817,5.73,6.1972070336939495
1969-12-28,2.53,Rising,118.347,124.077,117.87979296630604,115.817,5.73,6.1972070336939495
1969-12-29,2.56,Rising,118.377,124.107,117.90979296630604,115.817,5.73,6.1972070336939495
1969-12-30,2.59,Rising,118.407,124.137,117.93979296630604,115.817,5.73,6.1972070336939495
1969-12-31,2.62,Rising,118.437,124.167,117.96979296630604,115.817,5.73,6.1972070336939495
1970-01-01,2.65,Rising,118.467,124.197,117.99979296630605,115.817,5.73,6.1972070336939495
1970-01-02,2.66,Rising,118.47699999999999,124.207,118.00979296630604,115.817,5.73,6.1972070336939495
1970-01-03,2.64,Rising,118.457,124.187,117.98979296630606,115.817,5.73,6.1972070336939495
1970-01-04,2.62,Rising,118.437,124.167,117.96979296630604,115.817,5.73,6.1972070336939495
1970-01-05,2.6,Rising,118.41699999999999,124.14699999999999,117.94979296630603,115.817,5.73,6.1972070336939495
1970-01-06,2.6,Rising,118.41699999999999,124.14699999999999,117.94979296630603,115.817,5.73,6.1972070336939495
1970-01-07,2.61,Rising,118.42699999999999,124.157,117.95979296630605,115.817,5.73,6.1972070336939495
1970-01-08,2.61,Rising,118.42699999999999,124.157,117.95979296630605,115.817,5.73,6.1972070336939495
1970-01-09,2.62,Rising,118.437,124.167,117.96979296630604,115.817,5.73,6.1972070336939495
1970-01-10,2.64,Rising,118.457,124.187,117.98979296630606,115.817,5.73,6.1972070336939495
1970-01-11,2.61,Rising,118.42699999999999,124.157,117.95979296630605,115.817,5.73,6.1972070336939495
1970-01-12,2.56,Rising,118.377,124.107,117.90979296630604,115.817,5.73,6.1972070336939495
1970-01-13,2.5,Rising,118.317,124.047,117.84979296630604,115.817,5.73,6.1972070336939495
1970-01-14,2.48,Rising,118.297,124.027,117.82979296630606,115.817,5.73,6.1972070336939495
1970-01-15,2.49,Rising,118.30699999999999,124.03699999999999,117.83979296630605,115.817,5.73,6.1972070336939495
1970-01-16,2.5,Rising,118.317,124.047,117.84979296630604,115.817,5.73,6.1972070336939495
1970-01-17,2.49,Rising,118.30699999999999,124.03699999999999,117.83979296630605,115.817,5.73,6.1972070336939495
1970-01-18,2.48,Rising,118.297,124.027,117.82979296630606,115.817,5.73,6.1972070336939495
